,number,value,datetime_start,datetime_complete,duration,params_algorithm,params_dropout_rate,params_lr_Adadelta,params_lr_Adam,params_lr_AdamW,params_lr_SGD,params_momentum_SGD,params_nesterov_SGD,params_suggested_freeze,params_weight_decay_Adadelta,params_weight_decay_Adam,params_weight_decay_AdamW,params_weight_decay_SGD,state
38,38,45.833333333333336,2025-05-26 00:59:33.147969,2025-05-26 00:59:42.287098,0 days 00:00:09.139129,AdamW,0.26266732882401733,,,0.023880185319473227,,,,29,,,0.00033200403654094177,,COMPLETE
39,39,45.833333333333336,2025-05-26 00:59:42.334445,2025-05-26 00:59:52.011576,0 days 00:00:09.677131,AdamW,0.24872267436782364,,,0.0320345990465264,,,,30,,,0.0007548438970222365,,COMPLETE
40,40,37.5,2025-05-26 00:59:52.056975,2025-05-26 01:00:01.692068,0 days 00:00:09.635093,Adam,0.2289186897273786,,0.0020441986862453788,,,,,27,,1.790785115912206,,,COMPLETE
41,41,33.333333333333336,2025-05-26 01:00:01.739694,2025-05-26 01:00:08.002842,0 days 00:00:06.263148,AdamW,0.2723630677447243,,,0.07193703988981481,,,,29,,,0.0007853283364027855,,PRUNED
42,42,43.75,2025-05-26 01:00:08.035960,2025-05-26 01:00:17.671096,0 days 00:00:09.635136,AdamW,0.2540651176754697,,,0.03895155035197212,,,,30,,,0.000374243106783033,,COMPLETE
43,43,33.333333333333336,2025-05-26 01:00:17.719962,2025-05-26 01:00:24.333950,0 days 00:00:06.613988,AdamW,0.2765391007125897,,,0.026434290730630236,,,,25,,,0.0008493829969189974,,PRUNED
44,44,33.333333333333336,2025-05-26 01:00:24.365038,2025-05-26 01:00:30.489541,0 days 00:00:06.124503,AdamW,0.15402182144291138,,,0.008161442424911087,,,,29,,,0.0013177402363521778,,PRUNED
45,45,33.333333333333336,2025-05-26 01:00:30.521901,2025-05-26 01:00:36.516901,0 days 00:00:05.995000,SGD,0.24172881986048106,,,,0.07697336416909212,42.12679479091756,True,27,,,,3.7937328454645245,PRUNED
46,46,33.333333333333336,2025-05-26 01:00:36.548753,2025-05-26 01:00:45.740511,0 days 00:00:09.191758,AdamW,0.18597517165631391,,,0.016375326782283525,,,,23,,,0.0006630506658035209,,COMPLETE
47,47,33.333333333333336,2025-05-26 01:00:45.788446,2025-05-26 01:00:53.451639,0 days 00:00:07.663193,AdamW,0.3443772759136307,,,0.03782548179480943,,,,0,,,0.00014904124308609253,,PRUNED
