"angle","trial","accuracy","epoch"
"-105",360,0.355555555555556,3
"-110",360,0.325,3
"-115",360,0.311111111111111,3
"-120",360,0.302777777777778,3
"-125",360,0.319444444444444,3
"-130",360,0.327777777777778,3
"-135",360,0.327777777777778,3
"-140",360,0.336111111111111,3
"-145",360,0.341666666666667,3
"-15",360,0.630555555555556,3
"-150",360,0.341666666666667,3
"-155",360,0.358333333333333,3
"-160",360,0.372222222222222,3
"-165",360,0.408333333333333,3
"-170",360,0.405555555555556,3
"-175",360,0.408333333333333,3
"-180",360,0.408333333333333,3
"-20",360,0.647222222222222,3
"-25",360,0.686111111111111,3
"-30",360,0.725,3
"-35",360,0.713888888888889,3
"-40",360,0.705555555555556,3
"-45",360,0.688888888888889,3
"-5",360,0.597222222222222,3
"-50",360,0.666666666666667,3
"-55",360,0.652777777777778,3
"-60",360,0.616666666666667,3
"-65",360,0.575,3
"-70",360,0.536111111111111,3
"-75",360,0.505555555555556,3
"-80",360,0.475,3
"-85",360,0.430555555555556,3
"-90",360,0.422222222222222,3
"-95",360,0.419444444444444,3
"0",360,0.577777777777778,3
"10",360,0.616666666666667,3
"100",360,0.430555555555556,3
"105",360,0.413888888888889,3
"110",360,0.416666666666667,3
"115",360,0.391666666666667,3
"120",360,0.375,3
"125",360,0.372222222222222,3
"130",360,0.380555555555556,3
"135",360,0.375,3
"140",360,0.377777777777778,3
"145",360,0.408333333333333,3
"15",360,0.641666666666667,3
"150",360,0.433333333333333,3
"155",360,0.436111111111111,3
"160",360,0.447222222222222,3
"165",360,0.444444444444444,3
"170",360,0.436111111111111,3
"175",360,0.416666666666667,3
"180",360,0.405555555555556,3
"20",360,0.672222222222222,3
"25",360,0.708333333333333,3
"30",360,0.722222222222222,3
"35",360,0.688888888888889,3
"40",360,0.661111111111111,3
"45",360,0.661111111111111,3
"5",360,0.577777777777778,3
"50",360,0.630555555555556,3
"55",360,0.583333333333333,3
